"","text","created_at","user_location"
"46042","appointments  covid19 vaccine  theare full  today county says  still advise   appointments open",2021-03-22,"Orlando, FL"
"46046","need another reason  get vaccinated   go",2021-03-22,"Orlando, FL"
"46050","oh lol discriminating  non vaccinated folks already  see jk",2021-03-22,"Brooklyn, NY"
"46058"," latest  vaccine eligibility  nys   qualify please get vaccinated  protect   build community immunity  covid19

troyny vaccinateny",2021-03-22,"Troy, NY"
"46067","please visitto find     eligible      schedule  covid19 vaccine appointment",2021-03-22,"San Jose, CA"
"46072","dr john goldman withsays mass vaccination site   completely done via drivethru atno need  get    car

dauphinpa coronavirus covid19",2021-03-22,"Harrisburg, PA"
"46077","  eligible  receive  covid19 vaccine use  link   find  

 link   determine  eligibility  direct   available covid19 vaccine locations across  state   provide  zip code",2021-03-22,"Bushwick, Brooklyn"
"46092"," done   vaccine  happy still wearing  mask",2021-03-22,"Champlin, MN"
"46102","thanks   increase  supply  covid19 vaccines contra costa county today  extending vaccine eligibility  anyone   50  older  lives  works   county regardless  whether    underlying health condition

",2021-03-22,"West Contra Costa County, CA"
"46113","big news arizona    16  want  vaccine covid19vaccine",2021-03-22,"Scottsdale, AZ"
"46126","tours  femasuppoed covid19 vaccination site  cal state la",2021-03-22,"Los Angeles, CA"
"46130","arizona  racing   finish line every adult   family  fully vaccinated  now  can get  kids vaccinatedcovid19 covidvaccine",2021-03-22,"The Sonoran Desert"
"46137","nusd  truecare24  ready  administer  covid19 vaccine   team thank youfor  oppounity newarkready newarkstrongnewark memorial high school",2021-03-22,"Newark, CA"
"46154","contracosta opens covid19 vaccine eligibility  ages 50  older

schedule appointment",2021-03-22,"Richmond, California"
"46185","day 2   vaccination clinic  going along nicely even councilmember cristi creegan chipped   help  excited   able  get   1000 people   community vaccinated  covid19",2021-03-22,"South Lake Tahoe, CA"
"46204","come ondo  right thing  get texans vaccinated",2021-03-22,"Euless, TX"
"46210","need  ride   covid19 vaccine appointment sac can take   free",2021-03-22,"Sacramento, CA"
"46213","got  first dose  pfizer covid19 vaccine  afternoonvery well run operationthank ",2021-03-22,"Upper Arlington, OH"
"46215","  scheduled   covid19 vaccine  april 8th first shot",2021-03-22,"Littleton, NH"
"46222","    surprising  anyone    paying attention covid19 vaccinated",2021-03-22,"nyc"
"46245","got  notice   mail today  since im   transpoation industry   now eligible   wuhan coronavirus vaccine  even gave  information   go  get 

  even make    house went straight   garbage",2021-03-22,""
"46279","people   replies  acting like eating  single donut  put us   diabetic shock stfu  get vaccinated",2021-03-23,"Suisun City, CA"
"46289"," wants  tell    measurement  persons vaccinated100000
 actually  8th  9th",2021-03-23,"Loss...Angeles, Gavinfornia"
"46299"," utahns can find tens  thousands  covid19 vaccine appointments right now kutv2news 
",2021-03-23,"Salt Lake City"
"46314"," insane   briding people  get  vaccine  got pa one  mine finally  nobody gave   damn donut",2021-03-23,"Portland, OR"
"46336","friendsfollowto  aleed  new availability   covid19 vaccine updates",2021-03-23,"Westy, CO"
"46341","apparently  nurse sucker punched    arm today   got  second vaccine cause   sore im happy willing  founate    paincovid19 covidvaccination covid19vaccine",2021-03-23,"Nashville, TN"
"46359","   people   supermarket site   deadly mass shooting    get  covid19 vaccination jfc",2021-03-23,"Austin, TX, so far"
"46369","us health agency raises questions  astrazeneca covid19 vaccine trialvia",2021-03-23,"Washington"
"46398","covid19 vaccine pfizer 1st dose update day 2 
deltoid muscle  upper left arm  injection went    sore today    use  muscleotherwise 100 good   arm soreness  expected   review   vaccine documentation 

covid19vacccine",2021-03-23,"Woodstock, GA"
"46400","multiple new hampshire schools  closed  monday  hundreds  teachers  received  covid19 vaccine called  sick
",2021-03-23,"Tulsa, Oklahoma"
"46451","montana veterans passed   halls   helena aviation readiness center saturday  receive  covid19 vaccine  mt va health care system  able  host  biggest vaccination clinic  date  using  mtng facilities  1000 moderna vaccines available",2021-03-23,"Fort Harrison, Mont."
"46464","got  first covid19 vaccine just now",2021-03-23,"Los Angeles"
"46466","  hell covid19 vaccine mississippi",2021-03-23,"Tallahasssee, FL"
"46471","first covid19 vaccine 2nd one   42021 covidvaccine feelinggood",2021-03-23,"Portland, MI"
"46477"," beautiful day  exquisite venue   consummately professional  compassionate staff   spectacular view   long awaited first dose   covid19 vaccine covidvaccine gratitude",2021-03-23,""
"46485","breaking georgia  expanding covid19 vaccine eligibility  everyone 16 staing thursday",2021-03-23,"Atlanta, GA"
"46504","major news  georgia residents  residents 16    eligible   covid vaccine beginning  thursday",2021-03-23,"Washington, DC"
"46506","sign    covid19 vaccine appointment   arizona staterun site ",2021-03-23,""
"46508","breaking gov eric holcomb says  hoosiers 16     eligible  get  covid19 vaccine staing march 31st  long  supplies  sent",2021-03-23,""
"46510","eu  extend covid19 vaccine expo curbs  cover britain

",2021-03-23,"New York City."
"46523","eu suppo vaccine sharing  beat covid19globalcitizen",2021-03-23,""
"46525","need  ride   covid19 vaccine appointment sac board membersandshow us  easy    ride free vaccinate slowthespread",2021-03-23,"Sacramento, CA"
"46541","lhb ampscpa  like  thankrepoerfor  recent story   pa new covid19 vaccine distribution decisionsadly lbh amp scpa   longer offer  vaccine   public  pa  shifted  model  larger  fewer locations",2021-03-24,"Bristol, PA"
"46547"," must follow science  get vaccinated   want  return   sense  normalcy   everyday lives   trusted public health entities  agree  getting  covid19 vaccination   safe effective way  protect  communities

",2021-03-24,"Brookfield, WI"
"46557","  thing  went   local tavern   cocktailto health


negroni cocktail health covid19 moderna pnw sanjuanislandswa stopthespread socialdistancing corona vaccine gratitude",2021-03-24,""
"46570"," happy   vaccinated   moscone center  process   fast efficient  organized professionals   kind thank youfor setting  bar high   comes  covid19 vaccinations",2021-03-24,"San Francisco, CA"
"46595","covid19 vaccine  georgia  adults eligible staing thursday governor says",2021-03-24,"Orlando, FL"
"46604","check   site  book  session onad adultwork android covid19 nationalpuppyday vaccinated",2021-03-24,"Houston, Tx"
"46630","upcoming ashtabulacounty health depament covid19 vaccine clinics",2021-03-24,"Ashtabula County, OH"
"46649","death  covid19 vaccine   affect life insurance pay  
 
download  app  read  ",2021-03-24,"Massillon, OH"
"46660","youregonnaneedabiggerboatefficay     chadox1 ncov19 covid19 vaccine   b1351 variantnejm",2021-03-24,"Buffalo"
"46678","walk  vaccine clinic now 

fo woh medstar host walkup covid19 vaccine clinic wednesday",2021-03-24,"Dallas, TX; ATL grown"
"46689","thank you4 featuring  comments  nv expanding covid vaccines 2 everyone 16 yearsstaing apr 5 
  committed 2 continuing  vaccine effos  community outreach amp equitable distribution 
covidvaccine twitterx medtwitter",2021-03-24,"Las Vegas, NV"
"46696","reminder today   first day  utahns 16 can register   covid19 vaccine 

",2021-03-24,"Indianapolis, IN"
"46707"," covid19 vaccine without  needle",2021-03-24,"Miami, FL"
"46712","covidupdate pfizer today 
prohealth  mobile infirmary  currently  line  wait   pfizer covid19 vaccine     questions please email ashleyrainsorg",2021-03-24,"Mobile, AL"
"46727"," repulican pay   demacrats  california  moving forward togy  close  borders  insure everyone   state   covid19 vaccine available  themnobody  allowed   state unless  tested negative  covid19",2021-03-24,""
"46734","desplaines residents can visit  mass vaccination site  1155 e oakton   shots illinois covid",2021-03-24,"Des Plaines, IL"
"46737","  still looking  access   covid19 vaccine

 hayward adult school gym    vaccination site 

please visit

 register amp   information",2021-03-24,"Hayward, CA"
"46739","gov jb pritzker receives  johnson  johnson covid19 vaccine   mass vaccination site  springfield",2021-03-24,"Springfield, IL"
"46743","second covid19 vaccine clinic underway thank   everyone  protecting  community  especially  residents",2021-03-24,""
"46748","  broward moment   covid19 vaccination site jerk   jeep screams  yells   guy  front    stopping   stop sign inside  park  stopper  leaps   runs  tell  cop now jerk  tailgating  stopsign heeder   head towards shot",2021-03-24,"Fort Lauderdale, FL"
"46750","get  free donut  covid19 vaccination card wisdomwednesday",2021-03-24,"Cali to New York"
"46755"," got  1st covid19 vaccination today ask  

  mother died 11321    effects weeks   covid19beaumont physical therapy  wellness dearborn",2021-03-24,"Taylor, MI"
"46767","3 fully vaccinated hawaii residents test positive  covid19via",2021-03-24,"Florida, USA"
"46798","received  second dose   covid vaccine today  small step  keep   community safe covidvaccine covid19 anchorage alaska anchoragepolicedepament",2021-03-24,"Anchorage, AK"
"46804","listen  coronavirus advice fromfreedonut  showing  covid19 vaccination record card",2021-03-24,"New Jersey, USA"
"46830","looking  vaccines   relative  noticed frys  safewayalbesons  opened eligibility  ages 1618 depending  vaccine   az counties saw   open  prescott   safeway  
frys 
safewayalbe",2021-03-24,"Arizona, USA"
"46862"," rare great news  announced  texas yesterday  adults  16  now eligible  vaccination  covid19 direct link   dcph vaccine waitlist poal   bio
covid19 coronavirus lgbtqia denton",2021-03-24,"Denton, TX"
"46864"," boy secured  bag got  second dose today   officially fully vaccinated pfizer vaccination 2nddose covid19",2021-03-24,"where the wild things are, NY"
"46867","join us   town hall now  discuss  latest covid19 recovery effos including  vaccine  health  families assistance  renters  ",2021-03-24,"Los Angeles County"
"46875"," first covid19 vaccine  approved  early december     engine biden  inaugurated  many people  trump administration get vaccinated  far biden administration  vaccinated 130 million  yeah  sides huh",2021-03-24,"San Diego"
"46878","readingstudies show covid19 vaccines  working infection  vaccination rare",2021-03-24,"San Antonio, TX"
"46919","new astrazeneca repo says vaccine  76 effective  preventing covid19 symptoms

",2021-03-25,"Spokane, WA"
"46930","new astrazeneca repo says vaccine  76 effective  preventing covid19 symptoms",2021-03-25,"Norwich, CT"
"46931","everyone   mom     eligible  get  covid19 vaccine  texas   talked w 2 women   successfully signed   combined 1400 people  get advice    beat snag  appointment 
",2021-03-25,"San Antonio, TX"
"46935","oh  remember  chinajoe claimed   brought us  vaccine  2 months    vaccinated  president trumps vaccine
china joe stupid liar maybe just dumb   brick
  democrats cheated us  put   office",2021-03-25,""
"46939","now offering  freecovid19 vaccine  cvs goleta 5875 calle real goleta ca 93117 
 covid19vaccination",2021-03-25,"Camarillo, CA"
"46940","  like  thank  siletz tribal health clinic  providing  moderna covid19 vaccine  chinook winds team members immediate family  local community   total  four vaccination events  staing thursday february 25th",2021-03-25,"Lincoln City, OR"
"46967","  wait  see   requirement   vaccinated  visit care homes plays 

 covid19 outbreak  retirement home families want mandatory vaccines  staff",2021-03-25,"Clinton, Maine, United States"
"46999"," us topped 30 million cases   coronavirus yesterday even  states open vaccine eligibility   people",2021-03-25,"Long Beach, CA"
"47003","  going  happen   vaccination site  yankee stadium covidvaccine covid19 somos nyy thebronx newyorkcity usavia",2021-03-25,"The Bronx"
"47025"," amazing  many folks  getting  vaccine  lead  commonwealth hope  keeps going",2021-03-25,"TRI CITIES (TRI)"
"47038","getting vaccinated  8th  april  florida",2021-03-25,""
"47039","threadpodcasts  always woh listening tothis one byis  covid19 vaccine production  expo  impoant question   become  urgent  vaccineproducing countries come closer  vaccinating   citizens",2021-03-25,"Wisconsin, USA"
"47041","first  masked  now  time  take  shot  georgians age 16 can get  covid19 vaccine staing today  return  normalcy depends  us rolling   sleeves  protect  othercovid19 vaccine 
itswohashot gacities",2021-03-25,"Conyers, Georgia"
"47045","astrazeneca vaccine  100 effective  severe illness  76  covid19 symptoms updated us trial data shows",2021-03-25,"Москва, Россия"
"47055"," husband just got vaccinated  mercy springdale  morning",2021-03-25,"Fayetteville, AR"
"47071","im  covid19 vaccination location  sterling va",2021-03-25,"Northern Virginia"
"47077","   year ago today hospitals  closing  covid19 icus     vaccine also  year ago today  tried   3rd time  get tested   luck   already ill   virus",2021-03-25,"Dallas, TX"
"47099","just got  first covid19 vaccine shot feeling fine",2021-03-25,"Leland Grove, IL"
"47143","lets goooooo vaccine   come",2021-03-25,"Business, Nunya"
"47151","pretty sure    vaccine   though   wasnt  bad  covid19",2021-03-25,"Point Pleasant Beach, NJ"
"47167","  get  covid19 vaccine   dentist

",2021-03-25,"Spokane, WA"
"47188"," early    vaccines mississippi allowed everybody  despite saying     allowed young smokers   first served along  elderly
 lot   louisiana friends went    vaccine  feb
",2021-03-25,"New Orleans, LA"
"47190","mass vaccination event  grandview mo join us",2021-03-25,""
"47192","   rate  vaccination  trump  presidentcan  spell dismalthe fact    trump administration wasnt able   anything effective  covid19 except drive   rate  moality",2021-03-25,""
"47196"," 21 million people receive first covid19 vaccine dosemore  11 million people fully vaccinated
",2021-03-25,"Richmond, VA"
"47199","  point    opened    get  vaccinated quicker",2021-03-25,""
"47208"," just karate kicked covid19   face     today vaccinated vaccine ihateyoucovid19 getvaccinated",2021-03-25,""
"47214"," people least likely   vaccinated  testing positive   

 many   cases  lead  longterm consequences  people",2021-03-25,"Worcester, MA"
"47228","
rutgers  require covid19 vaccination  students  fall",2021-03-25,"Classified"
"47253","minnesotans   age  16   eligible  sta scheduling appointments  get  vaccine beginning  tuesday people can sign  via local pharmacies healthcare systems  thevaccine connector",2021-03-26,"Minneapolis, MN"
"47254","beautifully written  critically impoant aicle byaddressing covid19 vaccination  pregnant individuals   considering pregnancy",2021-03-26,"Chicago"
"47255"," people  lyinggoing  lie      can hang   vaccinated friendsfamily maskless",2021-03-26,""
"47269","guess   2 thumbs  also 2 doses   covid19 vaccine 

probably  lot  people  also ",2021-03-26,"Baton Rouge"
"47278"," whydo    picture  someone wearing two masks since  got vaccinated 


",2021-03-26,"Romoland, CA"
"47285","moderna covid19 vaccine may cause alarming delayed side effect doctors say  normal",2021-03-26,""
"47290","bbc newscoronavirus eu says astrazeneca must catch   vaccine deliveries
",2021-03-26,"Davis, California, USA"
"47302"," experiment   talking    think  science  spreading false information  lab  fully vaccinated  one   call   experiment people die  covid19   data   vacinne  encouraging go get one   can",2021-03-26,"New Brunswick, NJ"
"47328","dr b  building  free nationwide covid19 vaccine standby list   notify   unclaimed doses become available   neighborhood sign  atand spread  word",2021-03-26,""
"47336","governor tim walz announced today   minnesotans 16 years  age  older   eligible  covid19 vaccination beginning tuesday march 30th",2021-03-26,"Fargo, ND"
"47339","finally today   daygetting dressed  go get  first dose  hate needles  im excited  get stuck go figure corvid19 vaccine coronavirusatlanta georgia",2021-03-26,"Atlanta, Ga"
"47347","floridians 18   able  receive covid19 vaccine staing april 5
vaccines  40 begins monday march 29

covid19 vaccine herdimmunity vasan

",2021-03-26,"Orlando, Fl"
"47348","covid19 cases  back    us

 vaccine coverage  only13 yet almost everything  open borders  opentest  trace strategy still poor  new variants

 can  optimistic  realistic expes need  consider behavioral patterns amp public policies",2021-03-26,"Manhattan, NY"
"47357","detroit free     registered   vaccine  way   supposed    local pharmacy  waiting   call nice work",2021-03-26,"Michigan, USA"
"47359","jonathan hollowaysay   rutgers covid19 vaccine requirementvia",2021-03-26,"Brick, NJ"
"47372","one  done  happy  get  first covid19 vaccine shot now just   15min waiting area feeling goodthank youfauciouchie",2021-03-26,"Marysville, OH"
"47392","just got  first dose   pfizer covid19 vaccine vaccinated",2021-03-26,"Atlanta, GA"
"47399","shot one   pfizer covid19 vaccine   book back   april 23",2021-03-26,"Orlando, FL"
"47413"," biden  new virus dilemma   handle  looming glut  vaccine 

via",2021-03-26,"Manhattan, NY"
"47417","new kansans 16   able  get  vaccine staing next monday",2021-03-26,"Kansas City, MO"
"47424","well  believe     vaccinated think theyre now safe  congregate  people  vaccine   make  immune  catching covid19   minimizes  symptoms",2021-03-26,"Plattsburgh, NY"
"47435"," abc news

jampj  surge 11m vaccine doses cdc deeply concerned  possible covid19 surge 

",2021-03-26,"Bensalem PA near Philadelphia"
"47436","happening now  4pm
covid19 vaccine open  walk ins  millwood field house ages 16  eligible  receive",2021-03-26,"WorldwideUnderground.OKC"
"47458"," dont recall   remember  1950s  60s  children  vaccinated  polio chicken pox mumps measles       got vaccinated  now theyre asking   vaccinate  covid19  shouldnt   problem   parents   agree  ",2021-03-26,"Maplewood, NJ"
"47463","meanwhile   ohio  scheduled  vaccine appointment  apr 1  better ontario  better",2021-03-26,"Kitchener ON & Dayton OH"
"47468","staff  volunteers prepare  covid19 community vaccine clinic members   highlandtown community   receiving  second doses   covidvaccine",2021-03-26,"Baltimore, MD"
"47470","thank  adhererx andfor setting   vaccine clinic happy  get theshot   arm covid19",2021-03-26,"Raleigh, NC"
"47476","   longer playing defence  covidwe    offensive beating  back one vaccination   time crushcovid covid19 covidvaccine",2021-03-26,"New Haven, CT, USA"
"47480","rutgers  requiring  students   vaccinated  returning  school first university   country  establish  requirement go scarlet knights go rutgers covid19 vaccinessavelives",2021-03-26,"Las Vegas, NV"
"47486"," husband   got  first dosage shot  dallas county   fair grounds alabama covid19 covidvaccine dallas dallascounty vaccine covid19 alwx aflcatslions aflbluespies 2a atlanta arwx",2021-03-26,"Garland, TX"
"47487"," california adults   eligible  vaccine april 15 50  older staing april 1covid19 coronavirus coronaviruspandemic covidvaccine covid19vaccine brazil variants",2021-03-26,"Los Angeles/Palm Springs, Ca"
"47489","get vaccinated",2021-03-26,"Phoenix, AZ"
"47500","just asked    know   get  vaccine

facebook   know    

thousands  jampj vaccine appointments now available  ny state fairgrounds",2021-03-26,"Syracuse"
"47538"," addition  increased mitigation amp covid19 vaccination  need  better understanding   surge  cases amp hospitalizations

1  eg age vaccination status wild type vs variant strain

2 wherehow eg retail establishments travel large gatherings",2021-03-26,"Washington, DC"
"47541","    agekids  using fake ids  buy alcohol now  use   get  covid vaccine covid19",2021-03-26,"LA"
"47591","second dosefull vaccinatedoing  pa  protect  community vaccination covidvaccine covid19",2021-03-27,""
"47613","luckily manyresidents already provided    information    someone  know  need  covid19 vaccine administered  home please send  information   directly  sneibaorg  monday march 29th  1200pm",2021-03-27,""
"47614","thedepament  health contactedlast night  asked   submit  list  homebound residents   need  covid19 vaccine administered  home  monday afternoon",2021-03-27,""
"47621","roll callcompany  trump administration tie may  covid19 vaccine bottleneck


via",2021-03-27,"Florida, US"
"47626","  second dose   coronavirus vaccine   joke   completely knocked     last 12 hours",2021-03-27,"Cleveland, OH"
"47646","another saturday another covid19 vaccine clinic   charleston coliseum  convention center   help   community paners  volunteers  expect  vaccinate approximately 3500 people ages 16   today",2021-03-27,"Charleston, WV"
"47648","fyi also keep  mind     dont   underlying health condition  may   wait  month  get  vaccine  heard    breaking  news last night",2021-03-27,"Minneapolis,MN"
"47651","    obese   vaccine    now",2021-03-27,"New Brighton, MN, USA"
"47662","energizing morning   ladies offeaturing cute babies breaks   covid19 vaccine appt amp lots  good team building  planning  incoming pres andi sciacca staed us  witha great icebreaker q    hope  gain amp contibute  year",2021-03-27,"Milwaukee, WI"
"47670","oh    looming vaccine glut  ever shall      enough vaccines",2021-03-27,"Chicago"
"47679","coalition working  boost covid19 vaccine paicipation  iowa diverse communities corinthian baptist church hosting vaccination clinic today  dsmusa   1100  get vaccinatedliveunited",2021-03-27,"Des Moines, Iowa  USA"
"47691","23significant reduction  neutralization  antibodies generated  previous infection  vaccination reduced effectiveness  treatments  vaccines  diagnostic detection failures

b117uk variant
p1brazil variant
b1351south africa variant

covid19",2021-03-27,"Los Angeles, CA"
"47697","pretty soonis going   covid19 vaccine eligible   help  get  vaccine",2021-03-27,"Westminster, Md."
"47700","   second moderna vaccine  couple  weeks agotested positive  covid19 last saturdayim  surprisedas  work   longterm care facilityand many staff  residents   itseveral  passedi  quarantine  home  mild symptomsthankful  vaccine",2021-03-27,"Michigan, USA"
"47721","  need  negative covid19 test   vaccine card  travel within  us",2021-03-27,"Chattanooga, TN"
"47742","covid19 vaccine clinic  allowing 16 plus walkins   18     parent present 
come get  shot",2021-03-27,"Omaha, NE"
"47753","two brothers  pardos  pa   thousands  healthcareheroes lost  covid19    constituentsandso honor   wearamask  encourage vaccination  texas mentalhealthmatters",2021-03-27,"Ohio, USA"
"47755","creek nation clinics  also quapaw nation    vaccine event   four states region oklahoma missouri kansas arkansas  april 13th",2021-03-27,"Saline District, CN, IT. "
"47759","today  received  second vaccine dose amp  couldnt   grateful  eligibility  availability continues  expand   area  encourage anyone  wants  vaccine  please get vaccinated   meantime continue  stay safe covid19 vaccination getvaccinated",2021-03-27,"Rochester, NY"
"47772"," got  covid19 vaccine todaywashington dc",2021-03-27,"Washington, DC"
"47802","  feel safe enough   vaccinated",2021-03-28,"New York, USA"
"47811","first shot  second shot  times  fixated   faces   people administering   never want  forget   look like   heroes   eternally grateful pfizer covid19 vaccinated vaccinessavelives",2021-03-28,"Los Angeles, CA"
"47816","       






covid19 vaccine moderna igottheshotnycpo richmond high school",2021-03-28,"Brooklyn, New York"
"47818"," got  first covid19 vaccine recently  get well soon",2021-03-28,"Amarillo, TX"
"47830"," going   seeing  infomercial  35 years saying    one   loved ones get vaccinated   covid19 pandemic   complications  may  entitled   cash settlement call 1800 imsorry",2021-03-28,"Hagerstown, MD"
"47839"," rich countries  ordered enough covid19 vaccine doses  vaccinate  entire country 3x  tell leaders  urgently share surplus doses w countries  need endcovideverywhere",2021-03-28,"St. Louis, MO"
"47843","  possible  high risk people   infected  covid prior  receiving  vaccine  must mask   social distance    vaccinations vaccines   cause covid postvaccine side effects  normal     info",2021-03-28,"Oakland, CA"
"47862"," people never learn   double mask  months  years  come whatever  necessary   now completely vaccinated  precautions   safety  everyone  still needed",2021-03-28,"queens"
"47870","    covid19 vaccine yesterday slight headache  fatigue",2021-03-28,"El Carrizal Jalisco MX"
"47873","  months  think  whether   id get  vaccine  moment  make  decision happened    personal decision   something   individual needs  carefully decide covid19 vaccine johnsonandjohnson covidvaccine",2021-03-28,"Florida, USA"
"47874"," keepin  real  point  witty psa  covid19   played   national media networks
 

 especially  fl   springbreak enthusiasts

healthcare coronavirus vaccinated",2021-03-28,"Chapel hill, NC"
"47890","another orleansjefferson area vaccine oppounity   great  people  work  need flexibility  appointment time 

remember staing tomorrow  louisianans 16  older  eligible   covid19 vaccine",2021-03-28,"Baton Rouge, Louisiana"
"47891","
 
 spike  covid19  long term problems even mild covid can cause    leaders  rush openings     majority vaccinated",2021-03-28,"WA"
"47932"," really want  vaccine   know   new infection   chance   stronger variant vaccinating healthy adults like    countries  nothing  highrisk people   morally wrong  sefdefeating covax",2021-03-28,"Redmond,USA"
"47935","  definitely heading   right direction  vaccinating  covid19  end  pandemicbut    ways  go stay vigilant  get  vaccine    able    shot 

pandemic vaccination coronavirus thisisourshot vaccinessavelives",2021-03-28,"Los Angeles, CA"
"47954","waiting   beer first time away  home since last july thanks   hard workers  gave us  covid19 vaccine  returned  freedom   life   much    sta",2021-03-28,"Redwood City, CA"
"47985"," cdc staed releasing countylevel covid vaccination data  friday 

  today sedgwick county   worst vaccination rate  kansas according   cdc 
",2021-03-28,"Topeka, KS"
"48011","ahns covid19 clinic  saturday  mount ararat baptist church vaccinated almost 1500   neighbors serving larimer garfield east libey homewood  nearby communities",2021-03-28,"Pittsburgh PA"
"48023","    asked hes setting   first covid19 databases check points new york     like israel    vaccinated  subway  bus  mainstream grocery stores dos congratulations america now  can track  like  pet dog",2021-03-29,""
"48058"," one    gym today  place  mine  cant wait  receive  2nd dose  covid19 vaccine   body  develop  immunity  want  world   back  normal",2021-03-29,"New York"
"48078","first dose covid19 vaccine clinics  week  mobile county health depament now  freezers  store  pfizer vaccine full story",2021-03-29,"Los Angeles, CA"
"48088","16   eligible  covid19 vaccine  ohio staing monday",2021-03-29,"Columbus, OH"
"48089"," troops  taking  covid19 vaccine including   rejected  ",2021-03-29,"Washington DC/Tampa Bay"
"48094","vaccine hesitancy   next big issue  washingtons fight  covid19approximately 21  washingtonians dont want  covid19 vaccine   unsure   want  according   ihmeviaget  vaccine prettyplease",2021-03-29,"Mukilteo School District"
"48105","just   friend repo  waitvalenciaall floridians 40 amp older eligible  covid vaccine staing today fema site  3000 first doses ready",2021-03-29,"Orlando, FL"
"48108","ohioans 16  now eligible  covid19 vaccinations thehealth vaccination clinic  ud arena  now underway 

people  lining   go inside 
appointments  today  full 
",2021-03-29,"Dayton, Ohio"
"48109","50  older  can sign    covid19 vaccination  douglas county 

 pharmacies  also allowing younger

",2021-03-29,"Greenwood, MN"
"48110","good news staing today  texans 16  eligible  get  covid19 vaccine  comes   heels  texas repoing  lowest positivity rate   year lowest hospitalization rate  five months   increased vaccine supply",2021-03-29,"Odessa, TX"
"48125","biden white house plans vaccine passpos",2021-03-29,"Koreatown, Los Angeles"
"48136"," info   pcps   cdc  recommending getting mammograms   covid vaccine  waiting 68 weeks  mammo lymph node swelling can lead  false positives 

",2021-03-29,"Providence, RI"
"48137","yesss
please get vaccinated everyone",2021-03-29,"Brooklyn, NY"
"48143","getinvolved  covid19 vaccine registration drive  florida institute  technology",2021-03-29,""
"48145","agree  pcps   nursing staff    valuable resource right now patients need  know      scheduled appointment   can get vaccinated    1 shot jampj   perfect    office administration",2021-03-29,""
"48165"," side effects  mild  pfizer  weight  anxiety   high risk loved ones  priceless please get vaccinated",2021-03-29,"Las Vegas, NV"
"48166","just signed    first dose  covid19 vaccine  april 8  many emotions swirling   brainthinking    needless death   hours  isolation    stressworry

vaccineswork healthiswealth covid19",2021-03-29,"Washington, DC"
"48177"," announced   coloradans   eligible   covid19 vaccine  friday april 2nd 

 ages 16 eligible  pfizer vaccine
 ages 18 eligible  moderna  johnson amp johnson vaccines",2021-03-29,"Denver, CO"
"48198","excellent experience  milwaukee   covid19 vaccination  thankstotal time parking  back  car1 hour",2021-03-29,"Madison, WI"
"48206","please check   comparison   three available covid19 vaccines

 remember  best vaccine   one  get

visitfor  information",2021-03-29,"San Jose, CA"
"48222","covid19coloradp vaccine update",2021-03-29,"Colorado, USA"
"48224","repelect julia letlow urged  republicans  use  story   husbands death  covid19   warning  get vaccinatedviacovid19 coronavirus coronaviruspandemic coronavirusoutbreak coronavirusvaccine covidvaccines",2021-03-29,"Los Angeles/Palm Springs, Ca"
"48234","   thing received  first shot   covid19 vaccine saturday  lcmc health   convention center covid19vacccine getvaccinated sleavesupla",2021-03-29,"New Orleans, LA"
"48278"," held another covid19 mass vaccination day  saturday  focus   tradespeople electricians plumbers contractors grocery store clerks postal workers  well   general public 18 years  age  older  administered 1018 doses  johnsonandjohnsonvaccine",2021-03-29,"Redding, Ca"
"48280","gop lawmakers warn  vaccine passposfox business",2021-03-29,"Portland, Oregon"
"48291","new alexander news show alexandernewsshow  thugs  made southbeach  warzone lets discuss also 
wants  give  covid19 vaccine passpos 

",2021-03-29,"Florida, USA"
"48298","equating  covid vaccine   flu vaccine  disingenuous   false equivalence 

  like  vaccine  polio  smallpox  covid19  deadly 

anyone  says  shouldnt  required  live  society   excluded  society",2021-03-29,"Hollywood, FL"
"48326","covid19 vaccination site surpassed 100000 doses administered   weekend",2021-03-29,"Tucson, AZ"
"48332","  live   us     parents grandparents  inlaws  age 75  want  covid19 vaccine received  least  dose",2021-03-29,"Home"
"48367"," can now download  vaccine   internet",2021-03-29,"Chicago, IL"
"48375"," cant lie  optional  use   tied   vaccine record

",2021-03-29,"Silver Spring, MD"
"48377","staples office depot offering  laminate  covid19 vaccine cards  freevia",2021-03-29,"South San Francisco, CA"
"48382"," vaccine update now  graciasstill maskup socialdistance amp washyourhands",2021-03-29,"TEXAS"
"48384","richmond  seen 9871 cases  covid19 amp 89 deaths 55 cases amp five deaths since last week   another reminder  wear  mask social distance amp stop  spread

get tested 8444210804

get vaccinated 8338292626

online appointment",2021-03-29,"Richmond, California"
"48386"," got  first covid19 vaccine  recently get well soon",2021-03-29,"Amarillo, TX"
"48419","  go live   set controversial subjects tonight   show  first  give information   covid19 vaccination events   latino community mycommunitymatters coronavirus controversy chismes latino estrada tvtime",2021-03-30,"Lafayette, LA"
"48429","

dimure throat cleaning cough dozens  central florida contract covid19   fully vaccinated
",2021-03-30,"Clermont, FL"
"48430","  covid19 vaccine   cause   test positive  viral tests   body develops  immune response    possibility  may test positive   antibody tests consult  doctor    questions",2021-03-30,"Des Moines, Iowa"
